Date,Open,High,Low,Close,Adj Close,Volume_M
11/23/2012,333.73407,333.749023,331.806305,666.141174,332.737823,1.8518
11/26/2012,331.975677,332.254639,328.279541,659.339783,329.340546,4.4257
11/27/2012,328.852386,336.239685,327.771423,668.873596,334.102692,5.0361
11/28/2012,332.757751,341.176178,330.705444,681.798157,340.558502,6.1067
11/29/2012,342.605835,345.654388,339.726624,689.995667,344.653168,5.5737
11/30/2012,344.364227,348.304474,341.564728,696.457886,347.881042,6.3508
12/3/2012,349.808838,351.627014,345.759003,693.346436,346.326874,4.4013
12/4/2012,346.202362,346.45639,341.569702,689.138,344.224762,3.9982
12/5/2012,344.782684,345.953278,339.890991,685.936829,342.625763,3.7387
12/6/2012,342.511169,346.506195,340.976929,689.237732,344.274567,2.9355
12/7/2012,346.202362,347.138824,339.935852,682.33667,340.827484,3.8529
12/10/2012,341.415283,344.5336,340.618286,683.543396,341.430237,2.7436
12/11/2012,343.71167,349.649414,342.575928,694.971985,347.138824,5.3952
12/12/2012,348.309448,350.441467,345.44519,695.650146,347.47757,4.8701
12/13/2012,356.623291,356.897247,348.468842,700.776062,350.037964,6.9155
12/14/2012,348.279572,352.588409,347.91095,700.038086,349.669342,4.2761
12/17/2012,351.432739,359.612091,350.695496,718.80658,359.04422,6.0934
12/18/2012,356.962006,363.18869,356.189911,719.095703,359.18866,6.0323
12/19/2012,359.009338,360.150055,357.001862,718.138428,358.71048,3.8515
12/20/2012,360.279572,360.971985,357.146332,720.382263,359.831268,3.3264
12/21/2012,355.651917,358.067871,353.93338,713.670654,356.478821,7.0783
12/24/2012,355.920929,356.254669,352.414063,707.557434,353.425262,1.688
12/26/2012,352.712952,355.108978,349.893524,706.929138,353.11145,2.3735
12/27/2012,352.249695,353.096497,348.00061,704.356201,351.826263,3.307
12/28/2012,349.534851,352.135101,348.697998,698.093445,348.697998,2.8145
12/31/2012,348.693024,353.958282,346.70047,705.443237,352.369232,4.0096
1/2/2013,358.36676,362.142609,356.937103,721.269775,360.274597,5.1015
1/3/2013,361.111481,364.598389,359.014313,721.68866,360.483826,4.6537
1/4/2013,363.308228,369.350586,362.481323,735.949463,367.607117,5.5476
1/7/2013,366.351837,368.309479,363.925903,732.738342,366.003143,3.3238
1/8/2013,366.396667,366.775238,360.862396,731.292236,365.280823,3.3647
1/9/2013,364.767761,367.796417,362.939606,736.09906,367.681824,4.0645
1/10/2013,370.028046,371.108978,365.380463,739.44989,369.35556,3.685
1/11/2013,369.614594,369.828796,366.775238,737.963928,368.613342,2.5799
1/14/2013,367.123932,369.714233,359.826294,721.269775,360.274597,5.7492
1/15/2013,358.32193,366.127655,354.720428,722.94519,361.111481,7.8847
1/16/2013,359.851196,360.817566,355.502502,713.231812,356.259644,4.0619
1/17/2013,357.514954,358.476349,354.182434,709.372437,354.331879,4.4395
1/18/2013,353.853668,355.054169,349.35553,702.581116,350.939606,6.4777
1/22/2013,351.014313,351.353027,346.461365,700.945557,350.12265,7.6131
1/23/2013,366.620819,373.101532,366.521179,739.469849,369.36554,11.8624
1/24/2013,369.236023,377.001892,368.872375,752.14502,375.696808,6.7906
1/25/2013,373.983215,377.823822,373.724182,751.606506,375.427795,4.4684
1/28/2013,374.476379,376.389191,372.548584,748.674561,373.963287,3.2663
1/29/2013,371.980713,377.061676,371.876129,751.616516,375.4328,3.5072
1/30/2013,375.462677,379.054199,375.049225,751.766052,375.507507,3.4789
1/31/2013,373.853699,377.395416,373.724182,753.620972,376.434021,3.2805
2/1/2013,377.684357,386.850006,377.634521,773.476501,386.351868,7.5201
2/4/2013,382.411621,383.796448,377.719208,756.941833,378.092804,6.1037
2/5/2013,379.14389,384.115234,378.316986,763.643494,381.440277,3.7553
2/6/2013,378.117737,385.036774,377.833801,768.06134,383.647003,4.1717
2/7/2013,383.412872,387.950867,381.320709,771.830994,385.529938,5.7016
2/8/2013,388.608398,391.86618,388.324463,783.219727,391.218628,6.0627
2/11/2013,387.746643,390.038055,385.430298,780.277771,389.749115,4.3518
2/12/2013,389.415375,392.478882,388.229828,778.5625,388.892334,3.7319
2/13/2013,388.608398,391.208649,388.528687,780.716553,389.968292,2.4052
2/14/2013,388.409149,392.897339,387.4328,785.663025,392.439056,3.4835
2/15/2013,392.229828,395.148895,392.06543,790.719116,394.964569,5.48
2/19/2013,396.508789,401.993225,396.155121,804.64093,401.918518,5.8855
2/20/2013,401.146393,402.974548,394.416626,790.290283,394.750366,5.549
2/21/2013,397.51004,401.22113,394.13269,793.351868,396.279633,7.039
2/22/2013,398.137695,399.128967,395.417877,797.520447,398.361847,4.1231
2/25/2013,399.652008,402.695587,393.769043,788.604919,393.908539,4.625
2/26/2013,396.015625,396.488861,390.735413,787.966675,393.589722,4.4215
2/27/2013,395.916016,400.872437,394.077911,797.59021,398.396698,4.0673
2/28/2013,399.05426,401.988251,399.019379,799.006348,399.104065,4.5485
3/1/2013,397.4104,402.062958,396.588501,803.982727,401.589752,4.367
3/4/2013,401.146393,409.883667,400.996979,819.250793,409.216156,5.5719
3/5/2013,412.917297,418.506348,412.902344,836.303955,417.734222,8.1184
3/6/2013,418.944702,420.424133,412.857513,829.103699,414.137695,5.7674
3/7/2013,415.472717,416.747925,413.241058,830.320374,414.745422,4.1207
3/8/2013,415.691895,415.901093,410.984528,829.243347,414.207458,5.8456
3/11/2013,414.292145,418.282166,414.197479,832.534302,415.851288,3.2012
3/12/2013,413.803955,414.391754,410.297119,825.344055,412.259735,4.0316
3/13/2013,412.404205,413.794006,409.619659,823.050354,411.114044,3.2948
3/14/2013,411.950897,411.950897,407.168823,819.290649,409.236084,3.3147
3/15/2013,407.721771,408.618408,405.151398,812.070496,405.629608,6.2225
3/18/2013,400.996979,404.862488,399.238556,805.578308,402.386749,3.6903
3/19/2013,404.105316,408.095367,401.719269,809.098694,404.145172,4.212
3/20/2013,406.889862,407.228607,404.204926,812.47937,405.833832,2.9385
3/21/2013,404.130219,406.934723,403.412903,809.038818,404.115265,2.9662
3/22/2013,405.848785,406.097839,403.308289,808.091431,403.642059,2.9874
3/25/2013,404.688141,408.085388,401.903564,807.423218,403.308289,3.4368
3/26/2013,405.23111,405.480164,402.386749,810.195679,404.693115,2.3926
3/27/2013,401.833832,401.993225,399.168823,800.462341,399.831329,4.3425
3/28/2013,400.493866,401.181274,395.168823,792.015564,395.612152,4.5926
4/1/2013,396.02063,399.627106,395.14389,798.996399,399.099091,3.6281
4/2/2013,400.767822,405.893616,400.49884,810.813965,405.001953,4.0982
4/3/2013,405.211182,405.579773,398.840057,803.992676,401.594727,3.4899
4/4/2013,400.623352,401.370575,394.172546,792.893127,396.050507,4.9134
4/5/2013,391.562317,392.025604,386.750366,780.906067,390.062958,6.8934
4/8/2013,387.92099,388.319489,382.765289,772.728516,385.978271,5.6853
4/9/2013,386.302032,390.411652,385.111511,775.520813,387.373016,4.3307
4/10/2013,389.998199,394.695587,386.551117,788.016541,393.614624,3.9719
4/11/2013,394.959595,395.069183,390.566071,788.225952,393.719238,4.0725
4/12/2013,394.516266,394.571045,390.003174,787.886841,393.549866,3.2855
4/15/2013,391.507538,397.011902,387.059204,779.789124,389.505035,4.9245
